City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
251,Severo-Yeniseyskiy,RU,60.37,93.04,46.78,97,24,3.33,few clouds
252,Norman Wells,CA,65.28,-126.83,57.2,76,75,8.05,broken clouds
253,Vila Franca Do Campo,PT,37.72,-25.43,71.6,83,20,1.95,few clouds
254,Kulu,TR,39.1,33.08,65.8,52,38,9.62,scattered clouds
255,Tres Arroyos,AR,-38.37,-60.28,50.65,65,0,5.95,clear sky
256,Bathsheba,BB,13.22,-59.52,82.4,78,20,18.34,few clouds
257,Krasnyy Chikoy,RU,50.36,108.75,56.23,85,80,0.85,broken clouds
258,Mahibadhoo,MV,3.78,72.97,82.74,75,100,13.35,light rain
259,Tasiilaq,GL,65.61,-37.64,33.8,73,99,11.41,overcast clouds
260,Nova Lima,BR,-19.99,-43.85,69.8,49,0,8.05,clear sky
261,Ust-Nera,RU,64.57,143.2,47.05,53,99,4.56,overcast clouds
262,Ponta Do Sol,PT,32.67,-17.1,77.0,53,20,18.34,few clouds
263,Kampot,KH,10.62,104.18,84.2,79,40,10.29,scattered clouds
264,Tilichiki,RU,60.47,166.1,50.95,70,100,10.09,light rain
265,San Ignacio,BZ,17.16,-89.07,93.2,56,40,6.93,scattered clouds
266,Ust-Ilimsk,RU,58.0,102.66,55.9,94,99,2.35,light rain
267,Opuwo,NA,-18.06,13.84,58.46,34,48,6.17,scattered clouds
268,Beyneu,KZ,45.32,55.2,72.86,29,0,10.4,clear sky
269,Suntar,RU,62.14,117.63,55.22,45,5,4.03,clear sky
270,Astana,KZ,51.18,71.45,51.8,81,18,4.47,few clouds
271,Providencia,MX,28.72,-111.58,102.99,38,0,11.99,clear sky
272,Neuquen,AR,-38.95,-68.06,59.0,30,80,4.7,broken clouds
273,Ruteng,ID,-8.61,120.47,70.7,58,8,2.1,clear sky
274,Jumla,NP,29.27,82.18,60.03,69,84,2.75,light rain
275,Lima,PE,-12.04,-77.03,60.8,82,90,6.93,overcast clouds
276,Rennes,FR,48.17,-1.67,60.01,93,17,8.05,few clouds
277,Guanica,PR,17.97,-66.91,82.99,85,35,4.76,light rain
278,Cozumel,MX,20.51,-86.95,81.0,88,90,6.93,overcast clouds
279,Beringovskiy,RU,63.05,179.32,52.63,80,83,11.52,light rain
280,Hovd,MN,48.01,91.64,56.53,39,100,2.91,overcast clouds
281,Atar,MR,20.52,-13.05,99.55,25,72,8.03,broken clouds
282,Pontianak,ID,-0.03,109.33,76.08,92,100,5.37,overcast clouds
283,Pundaguitan,PH,6.37,126.17,83.35,71,99,6.06,overcast clouds
284,Ilo,PE,-17.64,-71.34,61.18,82,27,5.68,scattered clouds
285,Malakal,SS,9.53,31.66,74.32,84,96,0.78,overcast clouds
286,Labuhan,ID,-6.88,112.21,77.86,76,44,7.78,scattered clouds
287,Tagusao,PH,9.19,117.81,82.26,75,100,3.47,overcast clouds
288,Morros,BR,-9.45,-46.3,77.47,31,0,4.83,clear sky
289,Gympie,AU,-26.19,152.66,68.0,53,0,1.01,clear sky
290,Warman,CA,52.32,-106.57,57.2,82,75,11.41,broken clouds
291,Yeppoon,AU,-23.13,150.73,68.0,56,0,9.17,clear sky
292,Campbell River,CA,50.02,-125.24,73.4,40,20,5.82,few clouds
293,Hami,CN,42.8,93.45,71.49,23,83,11.56,broken clouds
294,Mwinilunga,ZM,-11.74,24.43,65.12,54,65,2.37,broken clouds
295,Constitucion,CL,-35.33,-72.42,47.84,77,6,4.79,clear sky
296,Saquena,PE,-4.67,-73.52,80.22,59,94,2.86,overcast clouds
297,Cap Malheureux,MU,-19.98,57.61,69.01,79,62,1.99,light rain
298,Kota Bahru,MY,6.13,102.24,77.0,88,40,3.36,scattered clouds
299,Sao Jose Da Coroa Grande,BR,-8.9,-35.15,73.11,72,62,8.68,broken clouds
300,Aransas Pass,US,27.91,-97.15,89.01,79,1,14.99,clear sky
301,Hobyo,SO,5.35,48.53,75.99,79,96,26.11,overcast clouds
302,Rio Grande,BR,-32.03,-52.1,59.0,97,100,1.99,overcast clouds
303,Arauca,CO,7.08,-70.76,77.49,87,8,2.48,clear sky
304,Somerset East,ZA,-32.72,25.59,50.76,58,0,6.17,clear sky
305,Kiunga,PG,-6.12,141.29,73.22,96,96,2.37,overcast clouds
306,Willowmore,ZA,-33.29,23.49,46.11,75,16,7.92,few clouds
307,Komsomolskiy,UZ,40.43,71.72,62.6,87,0,0.78,mist
308,Las Vegas,US,36.17,-115.14,107.6,6,1,16.11,clear sky
309,Chuy,UY,-33.7,-53.46,57.45,98,100,6.38,moderate rain
310,Skibbereen,IE,51.55,-9.27,53.6,93,75,11.41,broken clouds
311,Bayanday,RU,53.07,105.51,52.97,95,100,5.46,light rain
312,Asfi,MA,32.3,-9.24,72.82,74,0,9.86,clear sky
313,Souillac,MU,-20.52,57.52,69.8,77,75,3.36,light intensity shower rain
314,Solnechnyy,RU,50.72,136.63,59.25,83,100,8.68,overcast clouds
315,Temirtau,KZ,50.05,72.95,42.8,100,3,2.24,clear sky
316,Fare,PF,-16.7,-151.02,78.17,76,2,14.29,clear sky
317,Laguna,US,38.42,-121.42,95.0,22,1,5.82,clear sky
318,Birao,CF,10.28,22.79,71.87,94,100,1.74,moderate rain
319,Denpasar,ID,-8.65,115.22,80.6,100,40,11.41,scattered clouds
320,Saint Anthony,US,45.02,-93.22,86.0,48,1,8.05,clear sky
321,Dong Hoi,VN,17.48,106.6,81.79,76,76,5.84,broken clouds
322,Lagoa,PT,39.05,-27.98,73.42,90,100,7.76,light rain
323,Talnakh,RU,69.49,88.4,53.6,66,50,4.47,scattered clouds
324,Enkhuizen,NL,52.7,5.28,61.0,88,97,21.0,light rain
325,Kalmunai,LK,7.42,81.82,78.44,78,57,4.76,broken clouds
326,Portel,BR,-1.94,-50.82,77.18,84,31,3.62,light rain
327,Kaitangata,NZ,-46.28,169.85,46.99,64,65,1.99,broken clouds
328,Berezovka,BY,53.72,25.5,53.89,96,66,5.08,broken clouds
329,Port Hedland,AU,-20.32,118.57,64.4,59,0,5.82,clear sky
330,Palana,RU,59.12,159.97,51.33,63,61,6.31,broken clouds
331,Camalu,MX,30.85,-116.07,77.0,49,58,10.0,broken clouds
332,Margate,GB,51.38,1.39,61.0,87,51,4.0,broken clouds
333,Amapa,BR,1.0,-52.0,74.98,82,94,3.49,light rain
334,Zelenogorskiy,RU,55.03,87.0,55.4,100,90,6.71,mist
335,Provideniya,RU,64.38,-173.3,53.6,76,90,6.71,light intensity shower rain
336,Broken Hill,AU,-31.95,141.43,53.6,81,40,10.29,scattered clouds
337,Ormara,PK,25.21,64.64,81.72,88,98,14.38,overcast clouds
338,Kavaratti,IN,10.57,72.64,82.53,72,100,9.17,overcast clouds
339,Cacador,BR,-26.78,-51.02,58.41,62,0,3.51,clear sky
340,Pacific Grove,US,36.62,-121.92,68.0,64,40,10.29,scattered clouds
341,Nakamura,JP,32.98,132.93,87.22,59,0,1.54,clear sky
342,San Matias,BO,-16.37,-58.4,87.08,32,46,3.06,scattered clouds
343,Luwero,UG,0.85,32.47,63.09,96,2,1.07,clear sky
344,Kawalu,ID,-7.38,108.21,71.67,87,69,0.58,broken clouds
345,Sangar,RU,63.92,127.47,56.21,45,0,3.94,clear sky
346,Yar-Sale,RU,66.83,70.83,54.36,80,45,7.4,scattered clouds
347,Vargashi,RU,55.36,65.85,57.54,83,83,8.21,broken clouds
348,Farah,AF,32.5,62.5,56.05,42,0,3.11,clear sky
349,Paamiut,GL,61.99,-49.67,43.36,73,100,10.58,overcast clouds
350,Bolgatanga,GH,10.79,-0.85,74.66,94,100,0.76,moderate rain
351,Dzhebariki-Khaya,RU,62.22,135.8,55.4,45,10,2.84,clear sky
352,Deputatskiy,RU,69.3,139.9,41.81,66,0,4.12,clear sky
353,Srednekolymsk,RU,67.45,153.68,48.13,70,97,6.29,light rain
354,Adur,IN,9.17,76.73,73.22,90,61,3.42,broken clouds
355,Otjiwarongo,NA,-20.46,16.65,57.83,42,64,5.82,broken clouds
356,Abu Dhabi,AE,24.47,54.37,95.0,67,55,4.7,broken clouds
357,Iracoubo,GF,5.48,-53.2,79.48,83,91,3.6,overcast clouds
358,Manzanillo,CU,20.34,-77.12,82.42,79,16,4.65,moderate rain
359,Mancio Lima,BR,-7.61,-72.9,78.17,44,5,1.79,clear sky
360,Kokopo,PG,-4.35,152.26,82.26,74,93,2.15,light rain
361,Anadyr,RU,64.75,177.48,53.01,76,20,6.71,few clouds
362,Berdigestyakh,RU,62.1,126.7,56.3,41,0,5.26,clear sky
